,Prediction,Actual
0,dissatisfied,satisfied
1,satisfied,satisfied
2,satisfied,satisfied
3,satisfied,satisfied
4,dissatisfied,satisfied
5,dissatisfied,dissatisfied
6,dissatisfied,dissatisfied
7,dissatisfied,dissatisfied
8,dissatisfied,dissatisfied
9,dissatisfied,satisfied
10,satisfied,satisfied
11,dissatisfied,satisfied
12,satisfied,satisfied
13,satisfied,satisfied
14,satisfied,satisfied
15,satisfied,satisfied
16,satisfied,satisfied
17,satisfied,satisfied
18,satisfied,satisfied
19,satisfied,satisfied
20,dissatisfied,satisfied
21,satisfied,satisfied
22,satisfied,satisfied
23,dissatisfied,dissatisfied
24,satisfied,dissatisfied
25,dissatisfied,dissatisfied
26,dissatisfied,dissatisfied
27,satisfied,dissatisfied
28,satisfied,dissatisfied
29,satisfied,satisfied
30,dissatisfied,satisfied
31,dissatisfied,satisfied
32,satisfied,satisfied
33,satisfied,satisfied
34,satisfied,satisfied
35,satisfied,satisfied
36,satisfied,satisfied
37,satisfied,satisfied
38,satisfied,satisfied
39,dissatisfied,satisfied
40,dissatisfied,satisfied
41,dissatisfied,satisfied
42,satisfied,satisfied
43,satisfied,satisfied
44,satisfied,satisfied
45,satisfied,dissatisfied
46,dissatisfied,dissatisfied
47,dissatisfied,satisfied
48,satisfied,satisfied
49,satisfied,satisfied
50,satisfied,satisfied
51,satisfied,satisfied
52,satisfied,satisfied
53,satisfied,satisfied
54,satisfied,satisfied
55,satisfied,satisfied
56,satisfied,satisfied
57,satisfied,satisfied
58,dissatisfied,satisfied
59,satisfied,satisfied
60,dissatisfied,satisfied
61,satisfied,satisfied
62,satisfied,satisfied
63,dissatisfied,dissatisfied
64,dissatisfied,dissatisfied
65,satisfied,dissatisfied
66,dissatisfied,dissatisfied
67,satisfied,satisfied
68,satisfied,dissatisfied
69,satisfied,satisfied
70,satisfied,satisfied
71,satisfied,satisfied
72,satisfied,satisfied
73,satisfied,satisfied
74,satisfied,satisfied
75,dissatisfied,dissatisfied
76,satisfied,satisfied
77,dissatisfied,satisfied
78,satisfied,satisfied
79,satisfied,satisfied
80,satisfied,satisfied
81,satisfied,satisfied
82,satisfied,satisfied
83,satisfied,satisfied
84,satisfied,satisfied
85,satisfied,satisfied
86,satisfied,dissatisfied
87,satisfied,satisfied
88,satisfied,satisfied
90,dissatisfied,dissatisfied
91,dissatisfied,dissatisfied
92,dissatisfied,dissatisfied
93,dissatisfied,dissatisfied
94,dissatisfied,dissatisfied
95,dissatisfied,satisfied
96,dissatisfied,satisfied
97,satisfied,satisfied
98,satisfied,satisfied
99,satisfied,satisfied
100,satisfied,satisfied
101,satisfied,satisfied
102,satisfied,dissatisfied
103,satisfied,satisfied
104,satisfied,satisfied
105,satisfied,dissatisfied
106,dissatisfied,dissatisfied
107,satisfied,satisfied
108,dissatisfied,dissatisfied
109,dissatisfied,dissatisfied
110,dissatisfied,dissatisfied
111,dissatisfied,dissatisfied
112,satisfied,satisfied
113,satisfied,satisfied
114,satisfied,satisfied
115,satisfied,satisfied
116,satisfied,satisfied
117,satisfied,satisfied
118,satisfied,satisfied
119,satisfied,satisfied
120,satisfied,satisfied
121,satisfied,satisfied
122,satisfied,satisfied
123,satisfied,satisfied
124,satisfied,satisfied
125,satisfied,satisfied
126,dissatisfied,dissatisfied
127,dissatisfied,dissatisfied
128,satisfied,satisfied
129,satisfied,satisfied
130,satisfied,satisfied
131,satisfied,satisfied
132,dissatisfied,satisfied
133,satisfied,satisfied
134,satisfied,satisfied
135,satisfied,dissatisfied
136,dissatisfied,satisfied
137,satisfied,satisfied
138,satisfied,satisfied
139,satisfied,satisfied
140,satisfied,satisfied
141,dissatisfied,satisfied
142,satisfied,satisfied
143,satisfied,satisfied
144,satisfied,satisfied
145,satisfied,satisfied
146,satisfied,satisfied
147,satisfied,satisfied
148,satisfied,satisfied
149,dissatisfied,dissatisfied
150,dissatisfied,satisfied
151,satisfied,dissatisfied
152,dissatisfied,dissatisfied
153,dissatisfied,dissatisfied
154,dissatisfied,dissatisfied
155,dissatisfied,dissatisfied
156,dissatisfied,dissatisfied
157,dissatisfied,dissatisfied
158,satisfied,dissatisfied
159,dissatisfied,satisfied
160,satisfied,satisfied
161,satisfied,satisfied
162,satisfied,satisfied
163,satisfied,satisfied
164,satisfied,satisfied
165,satisfied,satisfied
166,satisfied,satisfied
167,satisfied,satisfied
168,dissatisfied,dissatisfied
169,dissatisfied,dissatisfied
