,Prediction,Actual
9,dissatisfied,satisfied
10,satisfied,satisfied
11,satisfied,satisfied
12,satisfied,satisfied
13,satisfied,satisfied
14,satisfied,satisfied
15,satisfied,satisfied
16,satisfied,satisfied
17,satisfied,satisfied
18,satisfied,satisfied
21,satisfied,satisfied
22,satisfied,satisfied
25,dissatisfied,dissatisfied
27,satisfied,dissatisfied
28,satisfied,dissatisfied
31,dissatisfied,satisfied
33,satisfied,satisfied
34,satisfied,satisfied
35,dissatisfied,satisfied
36,satisfied,satisfied
39,satisfied,satisfied
46,dissatisfied,dissatisfied
50,satisfied,satisfied
51,satisfied,satisfied
52,satisfied,satisfied
53,satisfied,satisfied
54,satisfied,satisfied
56,satisfied,satisfied
57,satisfied,satisfied
66,dissatisfied,dissatisfied
67,satisfied,satisfied
70,satisfied,satisfied
71,satisfied,satisfied
73,satisfied,satisfied
74,satisfied,satisfied
75,satisfied,dissatisfied
76,satisfied,satisfied
77,satisfied,satisfied
78,satisfied,satisfied
79,satisfied,satisfied
81,satisfied,satisfied
87,satisfied,satisfied
89,satisfied,satisfied
90,dissatisfied,dissatisfied
93,dissatisfied,dissatisfied
94,satisfied,dissatisfied
95,dissatisfied,satisfied
96,dissatisfied,satisfied
97,satisfied,satisfied
98,satisfied,satisfied
99,satisfied,satisfied
100,satisfied,satisfied
102,satisfied,dissatisfied
105,satisfied,dissatisfied
108,dissatisfied,dissatisfied
109,dissatisfied,dissatisfied
111,dissatisfied,dissatisfied
113,satisfied,satisfied
114,satisfied,satisfied
115,satisfied,satisfied
116,satisfied,satisfied
117,satisfied,satisfied
120,satisfied,satisfied
126,dissatisfied,dissatisfied
127,dissatisfied,dissatisfied
130,dissatisfied,satisfied
131,satisfied,satisfied
132,satisfied,satisfied
133,satisfied,satisfied
134,satisfied,satisfied
135,satisfied,dissatisfied
138,satisfied,satisfied
139,satisfied,satisfied
140,satisfied,satisfied
141,satisfied,satisfied
142,satisfied,satisfied
143,satisfied,satisfied
144,satisfied,satisfied
145,satisfied,satisfied
147,satisfied,satisfied
154,dissatisfied,dissatisfied
155,dissatisfied,dissatisfied
156,dissatisfied,dissatisfied
157,dissatisfied,dissatisfied
159,satisfied,satisfied
160,dissatisfied,satisfied
161,satisfied,satisfied
162,satisfied,satisfied
164,satisfied,satisfied
165,satisfied,satisfied
168,dissatisfied,dissatisfied
169,satisfied,dissatisfied
171,satisfied,satisfied
173,satisfied,satisfied
174,satisfied,satisfied
180,dissatisfied,dissatisfied
183,satisfied,dissatisfied
184,satisfied,dissatisfied
187,satisfied,dissatisfied
188,satisfied,satisfied
190,satisfied,satisfied
192,satisfied,satisfied
193,satisfied,satisfied
194,satisfied,satisfied
195,satisfied,satisfied
196,satisfied,satisfied
197,satisfied,satisfied
198,satisfied,satisfied
201,satisfied,dissatisfied
203,satisfied,dissatisfied
204,satisfied,dissatisfied
206,dissatisfied,dissatisfied
208,satisfied,satisfied
209,satisfied,satisfied
210,satisfied,satisfied
211,satisfied,satisfied
212,satisfied,satisfied
213,satisfied,satisfied
214,satisfied,satisfied
215,satisfied,satisfied
216,satisfied,satisfied
217,satisfied,satisfied
221,dissatisfied,dissatisfied
222,satisfied,dissatisfied
223,satisfied,satisfied
225,satisfied,satisfied
226,satisfied,satisfied
227,satisfied,satisfied
228,satisfied,satisfied
229,satisfied,satisfied
230,satisfied,satisfied
232,satisfied,satisfied
233,satisfied,satisfied
234,dissatisfied,satisfied
239,satisfied,dissatisfied
242,satisfied,satisfied
243,satisfied,satisfied
244,satisfied,satisfied
245,satisfied,satisfied
247,satisfied,satisfied
248,satisfied,satisfied
249,satisfied,satisfied
250,satisfied,satisfied
251,satisfied,satisfied
252,satisfied,satisfied
253,satisfied,satisfied
254,satisfied,satisfied
258,satisfied,dissatisfied
259,dissatisfied,dissatisfied
260,dissatisfied,dissatisfied
265,satisfied,satisfied
266,satisfied,satisfied
267,satisfied,satisfied
268,satisfied,satisfied
269,satisfied,satisfied
271,satisfied,satisfied
273,satisfied,satisfied
